Frame,U1,RF1
0,0.0,-0.0
4,0.25,2336.594
6,0.5,4507.6187
9,0.75,6032.5
10,1.0,6685.7314
11,1.25,7139.2773
12,1.5,7501.139
13,1.75,7784.4956
14,2.0,7989.4756
15,2.25,8126.637
16,2.5,8229.216
17,2.75,8303.942
18,3.0,8357.213
19,3.25,8398.584
20,3.5,8432.734
21,3.75,8460.944
22,4.0,8484.293
25,3.75,6157.0034
26,3.5,3834.2927
27,3.25,1608.8079
28,3.0,-429.06317
29,2.75,-2131.034
30,2.5,-3428.964
31,2.25,-4238.7964
32,2.0,-4843.636
33,1.75,-5344.2695
34,1.5,-5789.1333
35,1.25,-6184.16
36,1.0,-6536.2915
37,0.75,-6845.1235
38,0.5,-7119.575
39,0.25,-7352.892
40,0.0,-7547.863
41,-0.25,-7709.031
42,-0.5,-7844.541
43,-0.75,-7961.946
44,-1.0,-8063.988
45,-1.25,-8148.75
46,-1.5,-8221.706
47,-1.75,-8283.315
48,-2.0,-8336.659
49,-2.25,-8384.135
50,-2.5,-8426.508
51,-2.75,-8464.309
52,-3.0,-8497.641
53,-3.25,-8527.569
54,-3.5,-8553.83
55,-3.75,-8578.376
56,-4.0,-8601.032
59,-3.75,-6254.0254
60,-3.5,-3910.755
61,-3.25,-1643.4253
62,-3.0,413.2632
63,-2.75,2141.7917
64,-2.5,3460.4307
65,-2.25,4283.571
66,-2.0,4902.156
67,-1.75,5420.3096
68,-1.5,5874.325
69,-1.25,6275.5293
70,-1.0,6631.1323
71,-0.75,6941.3745
72,-0.5,7204.9937
73,-0.25,7423.9062
74,0.0,7601.1055
