Frame,U1,RF1
0,0.0,-0.0
4,0.25,5484.0825
6,0.5,10786.529
9,0.75,13708.698
10,1.0,14874.57
11,1.25,15258.916
12,1.5,15431.108
13,1.75,15528.368
14,2.0,15607.424
15,2.25,15678.235
16,2.5,15743.441
17,2.75,15806.615
18,3.0,15867.78
19,3.25,15928.097
20,3.5,15987.053
21,3.75,16044.936
22,4.0,16102.842
25,3.75,10520.735
26,3.5,4950.2876
27,3.25,-608.8926
28,3.0,-5617.296
29,2.75,-9063.212
30,2.5,-11347.152
31,2.25,-12784.536
32,2.0,-13640.794
33,1.75,-14140.904
34,1.5,-14449.652
35,1.25,-14668.647
36,1.0,-14810.652
37,0.75,-14924.323
38,0.5,-15022.812
39,0.25,-15108.429
40,0.0,-15184.705
41,-0.25,-15254.02
42,-0.5,-15318.516
43,-0.75,-15379.673
44,-1.0,-15439.427
45,-1.25,-15498.641
46,-1.5,-15557.624
47,-1.75,-15615.5205
48,-2.0,-15672.789
49,-2.25,-15725.498
50,-2.5,-15774.765
51,-2.75,-15823.182
52,-3.0,-15869.031
53,-3.25,-15911.544
54,-3.5,-15949.35
55,-3.75,-15984.667
56,-4.0,-16017.929
59,-3.75,-10531.651
60,-3.5,-5050.3345
61,-3.25,426.43094
62,-3.0,5542.6123
63,-2.75,8965.685
64,-2.5,11346.774
65,-2.25,12789.208
66,-2.0,13669.839
67,-1.75,14190.811
68,-1.5,14509.044
69,-1.25,14706.611
70,-1.0,14846.102
71,-0.75,14952.389
72,-0.5,15040.695
73,-0.25,15118.535
74,0.0,15188.495
