Frame,U1,RF1
0,0.0,-0.0
6,0.25,30748.992
10,0.5,47972.676
12,0.75,53712.492
15,1.0,55958.3
17,1.25,56792.887
18,1.5,57309.734
19,1.75,57671.88
20,2.0,57946.598
21,2.25,58169.445
22,2.5,58356.395
23,2.75,58515.62
24,3.0,58657.008
25,3.25,58783.96
26,3.5,58898.258
27,3.75,59002.035
28,4.0,59098.168
34,3.75,27469.223
38,3.5,-1729.7043
41,3.25,-23338.844
44,3.0,-36557.96
45,2.75,-43694.387
46,2.5,-48433.566
47,2.25,-51384.92
48,2.0,-53041.5
49,1.75,-54036.93
50,1.5,-54766.28
51,1.25,-55340.6
52,1.0,-55807.64
53,0.75,-56198.273
54,0.5,-56528.047
55,0.25,-56814.195
56,0.0,-57064.742
57,-0.25,-57287.28
58,-0.5,-57486.508
59,-0.75,-57667.137
60,-1.0,-57830.863
61,-1.25,-57981.66
62,-1.5,-58121.176
63,-1.75,-58250.906
64,-2.0,-58373.32
65,-2.25,-58489.152
66,-2.5,-58598.652
67,-2.75,-58702.582
68,-3.0,-58800.68
69,-3.25,-58893.16
70,-3.5,-58980.883
71,-3.75,-59062.9
72,-4.0,-59140.04
78,-3.75,-27574.725
80,-3.5,1516.1143
83,-3.25,22853.896
86,-3.0,36068.445
88,-2.75,43327.7
89,-2.5,48189.38
90,-2.25,51229.48
91,-2.0,52806.06
92,-1.75,53774.996
93,-1.5,54505.688
94,-1.25,55091.652
95,-1.0,55575.27
96,-0.75,55976.453
97,-0.5,56319.938
98,-0.25,56620.42
99,0.0,56886.625
