Frame,U1,RF1
0,0.0,-0.0
6,0.25,21137.814
11,0.5,23229.875
13,0.75,23441.861
14,1.0,23533.832
15,1.25,23592.346
16,1.5,23638.17
17,1.75,23678.03
18,2.0,23711.797
19,2.25,23741.926
20,2.5,23769.107
21,2.75,23794.484
22,3.0,23818.719
23,3.25,23842.066
24,3.5,23864.438
25,3.75,23885.932
26,4.0,23906.969
32,3.75,829.7163
34,3.5,-18097.648
38,3.25,-21965.924
41,3.0,-22537.174
42,2.75,-22794.31
43,2.5,-22954.184
44,2.25,-23061.617
45,2.0,-23146.846
46,1.75,-23218.713
47,1.5,-23282.672
48,1.25,-23340.117
49,1.0,-23392.572
50,0.75,-23441.414
51,0.5,-23487.523
52,0.25,-23531.342
53,0.0,-23573.271
54,-0.25,-23613.303
55,-0.5,-23651.713
56,-0.75,-23687.902
57,-1.0,-23721.977
58,-1.25,-23754.074
59,-1.5,-23784.836
60,-1.75,-23814.518
61,-2.0,-23843.402
62,-2.25,-23871.438
63,-2.5,-23898.82
64,-2.75,-23925.785
65,-3.0,-23952.531
66,-3.25,-23978.89
67,-3.5,-24004.924
68,-3.75,-24030.645
69,-4.0,-24056.041
75,-3.75,-1044.5898
77,-3.5,17831.896
81,-3.25,21816.312
84,-3.0,22479.262
85,-2.75,22788.607
86,-2.5,22970.287
87,-2.25,23093.75
88,-2.0,23184.777
89,-1.75,23252.363
90,-1.5,23308.729
91,-1.25,23357.396
92,-1.0,23400.316
93,-0.75,23439.527
94,-0.5,23476.12
95,-0.25,23510.826
96,0.0,23542.676
