Frame,U1,RF1
0,0.0,-0.0
6,0.25,14759.145
9,0.5,17817.516
11,0.75,18148.79
12,1.0,18275.406
13,1.25,18354.38
14,1.5,18411.656
15,1.75,18459.975
16,2.0,18502.537
17,2.25,18541.57
18,2.5,18578.197
19,2.75,18613.352
20,3.0,18647.525
21,3.25,18680.936
22,3.5,18712.404
23,3.75,18742.201
24,4.0,18771.252
30,3.75,3007.896
34,3.5,-10597.047
37,3.25,-15849.004
39,3.0,-16980.566
40,2.75,-17431.473
43,2.5,-17655.963
45,2.25,-17780.404
46,2.0,-17867.803
47,1.75,-17940.09
48,1.5,-18002.246
49,1.25,-18057.25
50,1.0,-18108.46
51,0.75,-18157.01
52,0.5,-18203.125
53,0.25,-18247.27
54,0.0,-18290.086
55,-0.25,-18328.059
56,-0.5,-18363.88
57,-0.75,-18398.559
58,-1.0,-18432.275
59,-1.25,-18465.209
60,-1.5,-18497.686
61,-1.75,-18529.791
62,-2.0,-18561.469
63,-2.25,-18592.656
64,-2.5,-18623.154
65,-2.75,-18652.094
66,-3.0,-18679.986
67,-3.25,-18707.24
68,-3.5,-18733.957
69,-3.75,-18760.102
70,-4.0,-18785.64
76,-3.75,-2984.5115
78,-3.5,10553.908
81,-3.25,15905.094
83,-3.0,16943.951
84,-2.75,17355.996
85,-2.5,17583.254
86,-2.25,17721.404
87,-2.0,17819.354
88,-1.75,17898.814
89,-1.5,17968.639
90,-1.25,18031.086
91,-1.0,18087.074
92,-0.75,18137.586
93,-0.5,18183.912
94,-0.25,18226.691
95,0.0,18267.004
