Frame,U1,RF1
0,0.0,-0.0
4,0.25,52477.375
6,0.5,92415.14
14,0.75,94318.46
16,1.0,94915.85
17,1.25,95293.47
18,1.5,95585.42
19,1.75,95822.11
20,2.0,96031.42
21,2.25,96221.22
22,2.5,96395.86
23,2.75,96557.77
24,3.0,96707.67
25,3.25,96849.164
26,3.5,96982.92
27,3.75,97110.586
28,4.0,97232.39
34,3.75,44575.758
36,3.5,-7647.2754
37,3.25,-56014.152
42,3.0,-87512.59
45,2.75,-90521.234
47,2.5,-91643.55
48,2.25,-92378.125
49,2.0,-92928.766
50,1.75,-93357.664
51,1.5,-93699.88
52,1.25,-93987.74
53,1.0,-94237.445
54,0.75,-94457.51
55,0.5,-94653.125
56,0.25,-94835.195
57,0.0,-95002.04
58,-0.25,-95156.4
59,-0.5,-95300.17
60,-0.75,-95436.484
61,-1.0,-95566.94
62,-1.25,-95692.51
63,-1.5,-95813.61
64,-1.75,-95929.8
65,-2.0,-96042.74
66,-2.25,-96152.97
67,-2.5,-96261.11
68,-2.75,-96367.49
69,-3.0,-96471.98
70,-3.25,-96573.67
71,-3.5,-96672.945
72,-3.75,-96769.2
73,-4.0,-96863.016
79,-3.75,-44293.645
81,-3.5,7853.0034
82,-3.25,55980.2
85,-3.0,86682.67
90,-2.75,89878.83
92,-2.5,91072.14
93,-2.25,91846.97
94,-2.0,92417.9
95,-1.75,92864.1
96,-1.5,93240.516
97,-1.25,93566.9
98,-1.0,93848.23
99,-0.75,94103.14
100,-0.5,94339.91
101,-0.25,94563.164
102,0.0,94775.7
