Frame,U1,RF1
0,0.0,-0.0
6,0.25,21186.547
14,0.5,23650.367
16,0.75,23874.906
17,1.0,23986.654
18,1.25,24061.875
19,1.5,24115.578
20,1.75,24154.861
21,2.0,24187.674
22,2.25,24216.875
23,2.5,24243.938
24,2.75,24269.229
25,3.0,24293.033
26,3.25,24315.781
27,3.5,24337.098
28,3.75,24357.102
29,4.0,24376.312
35,3.75,1533.7686
39,3.5,-17428.648
44,3.25,-21859.31
47,3.0,-22602.203
48,2.75,-22877.41
49,2.5,-23051.578
50,2.25,-23181.785
51,2.0,-23287.451
52,1.75,-23377.537
53,1.5,-23455.373
54,1.25,-23524.146
55,1.0,-23586.42
56,0.75,-23639.273
57,0.5,-23684.803
58,0.25,-23726.68
59,0.0,-23766.31
60,-0.25,-23804.02
61,-0.5,-23840.256
62,-0.75,-23875.168
63,-1.0,-23908.629
64,-1.25,-23940.75
65,-1.5,-23971.723
66,-1.75,-24000.674
67,-2.0,-24027.395
68,-2.25,-24052.854
69,-2.5,-24077.322
70,-2.75,-24101.406
71,-3.0,-24125.225
72,-3.25,-24148.92
73,-3.5,-24172.447
74,-3.75,-24196.152
75,-4.0,-24219.957
81,-3.75,-1874.7247
85,-3.5,17027.996
88,-3.25,21602.695
91,-3.0,22426.31
92,-2.75,22736.414
93,-2.5,22928.117
94,-2.25,23072.271
95,-2.0,23189.014
96,-1.75,23281.387
97,-1.5,23358.582
98,-1.25,23429.457
99,-1.0,23495.756
100,-0.75,23557.334
101,-0.5,23605.395
102,-0.25,23648.498
103,0.0,23688.865
