Frame,U1,RF1
0,0.0,-0.0
4,0.25,9435.705
9,0.5,11115.442
11,0.75,11239.256
12,1.0,11319.34
13,1.25,11383.244
14,1.5,11436.466
15,1.75,11481.065
16,2.0,11519.542
17,2.25,11554.057
18,2.5,11586.318
19,2.75,11617.374
20,3.0,11647.5205
21,3.25,11677.291
22,3.5,11706.373
23,3.75,11734.726
24,4.0,11762.474
30,3.75,1734.0739
32,3.5,-7055.3286
35,3.25,-10106.583
38,3.0,-10514.548
39,2.75,-10672.913
40,2.5,-10787.628
41,2.25,-10879.112
42,2.0,-10955.388
43,1.75,-11021.299
44,1.5,-11078.611
45,1.25,-11129.555
46,1.0,-11174.985
47,0.75,-11216.136
48,0.5,-11255.154
49,0.25,-11293.025
50,0.0,-11329.524
51,-0.25,-11365.718
52,-0.5,-11400.761
53,-0.75,-11434.594
54,-1.0,-11466.481
55,-1.25,-11496.0625
56,-1.5,-11523.637
57,-1.75,-11549.773
58,-2.0,-11575.065
59,-2.25,-11600.234
60,-2.5,-11625.542
61,-2.75,-11651.246
62,-3.0,-11677.381
63,-3.25,-11703.719
64,-3.5,-11729.274
65,-3.75,-11754.543
66,-4.0,-11779.693
72,-3.75,-1754.7064
74,-3.5,7058.597
77,-3.25,10194.684
80,-3.0,10556.384
81,-2.75,10708.316
82,-2.5,10813.076
83,-2.25,10895.518
84,-2.0,10963.991
85,-1.75,11022.611
86,-1.5,11074.533
87,-1.25,11121.125
88,-1.0,11163.726
89,-0.75,11201.874
90,-0.5,11237.502
91,-0.25,11271.536
92,0.0,11304.234
