Frame,U1,RF1
0,0.0,-0.0
4,0.25,888.5757
6,0.5,1777.0079
7,0.75,2503.953
8,1.0,2919.8877
9,1.25,3166.1606
10,1.5,3336.9062
11,1.75,3482.6956
12,2.0,3609.1409
13,2.25,3724.4314
14,2.5,3824.1885
15,2.75,3906.5916
16,3.0,3974.3325
17,3.25,4033.0059
18,3.5,4081.4895
19,3.75,4122.778
20,4.0,4155.649
23,3.75,3266.3547
24,3.5,2377.334
25,3.25,1489.1099
26,3.0,610.86206
27,2.75,-214.90054
28,2.5,-845.34705
29,2.25,-1332.0153
30,2.0,-1702.9701
31,1.75,-1980.14
32,1.5,-2193.2136
33,1.25,-2374.5208
34,1.0,-2538.91
35,0.75,-2690.8564
36,0.5,-2831.6355
37,0.25,-2963.0908
38,0.0,-3087.86
39,-0.25,-3205.922
40,-0.5,-3315.9365
41,-0.75,-3417.1917
42,-1.0,-3510.5076
43,-1.25,-3595.5793
44,-1.5,-3674.1416
45,-1.75,-3744.1748
46,-2.0,-3809.0146
47,-2.25,-3869.725
48,-2.5,-3924.3467
49,-2.75,-3972.6555
50,-3.0,-4017.5017
51,-3.25,-4058.0608
52,-3.5,-4093.816
53,-3.75,-4125.2603
54,-4.0,-4152.173
57,-3.75,-3260.6375
58,-3.5,-2369.741
59,-3.25,-1482.8177
60,-3.0,-607.7175
61,-2.75,222.10036
62,-2.5,838.2771
63,-2.25,1322.6932
64,-2.0,1691.5636
65,-1.75,1965.698
66,-1.5,2179.1548
67,-1.25,2361.3108
68,-1.0,2525.5732
69,-0.75,2677.2776
70,-0.5,2818.1636
71,-0.25,2950.4685
72,0.0,3074.6824
