Frame,U1,RF1
0,0.0,-0.0
6,0.25,48426.387
13,0.5,51479.67
15,0.75,51754.555
16,1.0,51918.05
17,1.25,52031.977
18,1.5,52121.4
19,1.75,52198.57
20,2.0,52266.715
21,2.25,52327.76
22,2.5,52383.617
23,2.75,52434.42
24,3.0,52481.266
25,3.25,52524.94
26,3.5,52565.95
27,3.75,52604.543
28,4.0,52640.496
36,3.75,703.06946
41,3.5,-43778.273
47,3.25,-49608.188
49,3.0,-50244.664
52,2.75,-50600.45
54,2.5,-50856.11
57,2.25,-51060.09
58,2.0,-51225.133
59,1.75,-51354.645
60,1.5,-51463.246
61,1.25,-51561.11
62,1.0,-51650.62
63,0.75,-51733.75
64,0.5,-51810.7
65,0.25,-51881.305
66,0.0,-51947.375
67,-0.25,-52010.234
68,-0.5,-52069.664
69,-0.75,-52126.207
70,-1.0,-52180.57
71,-1.25,-52233.344
72,-1.5,-52284.65
73,-1.75,-52333.094
74,-2.0,-52378.367
75,-2.25,-52421.36
76,-2.5,-52462.254
77,-2.75,-52501.21
78,-3.0,-52538.77
79,-3.25,-52575.066
80,-3.5,-52609.445
81,-3.75,-52641.16
82,-4.0,-52671.992
90,-3.75,-795.019
94,-3.5,43515.58
102,-3.25,49437.355
104,-3.0,50093.4
105,-2.75,50444.7
106,-2.5,50700.77
107,-2.25,50901.176
108,-2.0,51071.223
109,-1.75,51219.953
110,-1.5,51350.508
111,-1.25,51467.15
112,-1.0,51570.676
113,-0.75,51662.707
114,-0.5,51746.285
115,-0.25,51824.344
116,0.0,51897.76
