Frame,U1,RF1
0,0.0,-0.0
4,0.25,-1.0175118e-12
6,0.5,1.5211523e-12
7,0.75,-5.1760167e-12
8,1.0,-5.132971e-12
9,1.25,2.7548835e-13
10,1.5,2.3815112e-12
11,1.75,1.2509712e-12
12,2.0,-5.9149417e-12
13,2.25,-3.5030527e-12
14,2.5,-5.1525483e-13
15,2.75,3.082884e-12
16,3.0,-4.80565e-12
17,3.25,-8.2123605e-12
18,3.5,2.1757797e-12
19,3.75,-6.3077616e-12
20,4.0,-4.9011784e-12
21,3.75,1.31931185e-11
22,3.5,1.0949582e-11
23,3.25,-1.1192194e-12
24,3.0,8.342381e-12
25,2.75,-5.5374308e-12
26,2.5,6.626047e-12
27,2.25,1.7056683e-12
28,2.0,4.308912e-12
29,1.75,-2.4830895e-12
30,1.5,-1.0848093e-12
31,1.25,2.741237e-12
32,1.0,-1.0538792e-11
33,0.75,-2.4178695e-12
34,0.5,-1.1978232e-11
35,0.25,4.7544434e-12
36,0.0,-5.127514e-12
37,-0.25,-3.840582e-12
38,-0.5,-8.626828e-12
39,-0.75,9.9156135e-12
40,-1.0,2.7093072e-12
41,-1.25,3.6656004e-12
42,-1.5,-7.764467e-12
43,-1.75,-8.210968e-12
44,-2.0,1.1237904e-12
45,-2.25,1.844455e-12
46,-2.5,4.3040515e-12
47,-2.75,-6.692435e-12
48,-3.0,2.5281437e-12
49,-3.25,1.3751415e-12
50,-3.5,5.2946805e-12
51,-3.75,9.085157e-12
52,-4.0,3.263409e-12
53,-3.75,6.989699e-12
54,-3.5,-1.8860526e-11
55,-3.25,-3.6491352e-12
56,-3.0,-1.33745515e-11
57,-2.75,-9.679866e-12
58,-2.5,2.1313099e-12
59,-2.25,8.367367e-12
60,-2.0,-6.0296442e-12
61,-1.75,6.079976e-13
62,-1.5,4.133121e-12
63,-1.25,-8.334058e-12
64,-1.0,-4.618401e-13
65,-0.75,-3.5601123e-12
66,-0.5,7.913773e-12
67,-0.25,8.7199e-12
68,0.0,1.193031e-11
