Frame,U1,RF1
0,0.0,-0.0
6,0.25,50527.75
12,0.5,82086.19
15,0.75,87634.49
17,1.0,88852.71
19,1.25,89164.06
20,1.5,89404.336
21,1.75,89613.95
22,2.0,89802.164
23,2.25,89972.29
24,2.5,90126.14
25,2.75,90270.3
26,3.0,90407.29
27,3.25,90535.72
28,3.5,90650.84
29,3.75,90759.09
30,4.0,90861.914
36,3.75,39751.5
38,3.5,-9687.895
41,3.25,-51688.47
46,3.0,-73664.43
48,2.75,-80328.64
49,2.5,-84858.95
50,2.25,-86451.516
51,2.0,-86956.29
52,1.75,-87327.39
53,1.5,-87639.09
54,1.25,-87908.42
55,1.0,-88146.28
56,0.75,-88363.45
57,0.5,-88564.71
58,0.25,-88751.29
59,0.0,-88923.914
60,-0.25,-89084.375
61,-0.5,-89234.42
62,-0.75,-89375.836
63,-1.0,-89509.42
64,-1.25,-89637.164
65,-1.5,-89760.22
66,-1.75,-89879.02
67,-2.0,-89993.3
68,-2.25,-90102.98
69,-2.5,-90209.16
70,-2.75,-90312.57
71,-3.0,-90411.695
72,-3.25,-90500.25
73,-3.5,-90583.57
74,-3.75,-90662.766
75,-4.0,-90739.016
81,-3.75,-39875.906
83,-3.5,9515.917
86,-3.25,51938.438
91,-3.0,73196.66
93,-2.75,80210.13
96,-2.5,85073.445
98,-2.25,86393.14
100,-2.0,86849.24
101,-1.75,87187.02
102,-1.5,87479.164
103,-1.25,87742.414
104,-1.0,87983.31
105,-0.75,88206.98
106,-0.5,88417.04
107,-0.25,88615.41
108,0.0,88802.92
