Frame,U1,RF1
0,0.0,-0.0
4,0.25,9282.82
8,0.5,17373.924
11,0.75,21475.244
12,1.0,23077.602
13,1.25,24023.744
14,1.5,24747.684
15,1.75,25316.031
16,2.0,25734.957
17,2.25,26029.594
18,2.5,26250.814
19,2.75,26408.195
20,3.0,26531.785
21,3.25,26631.68
22,3.5,26717.15
23,3.75,26789.943
24,4.0,26852.656
30,3.75,17523.48
32,3.5,8264.599
33,3.25,-381.8541
34,3.0,-7631.592
37,2.75,-12759.943
38,2.5,-16007.924
39,2.25,-18056.277
40,2.0,-19397.676
41,1.75,-20480.422
42,1.5,-21398.197
43,1.25,-22200.73
44,1.0,-22898.86
45,0.75,-23501.166
46,0.5,-24011.84
47,0.25,-24437.86
48,0.0,-24796.016
49,-0.25,-25094.256
50,-0.5,-25345.912
51,-0.75,-25553.65
52,-1.0,-25722.799
53,-1.25,-25866.322
54,-1.5,-25990.818
55,-1.75,-26102.22
56,-2.0,-26202.762
57,-2.25,-26293.986
58,-2.5,-26377.693
59,-2.75,-26455.154
60,-3.0,-26526.738
61,-3.25,-26592.08
62,-3.5,-26652.574
63,-3.75,-26709.256
64,-4.0,-26761.549
68,-3.75,-17531.139
70,-3.5,-8337.088
71,-3.25,278.4896
74,-3.0,7491.715
75,-2.75,12488.86
78,-2.5,15720.129
79,-2.25,17787.215
80,-2.0,19235.1
81,-1.75,20330.746
82,-1.5,21257.37
83,-1.25,22062.37
84,-1.0,22758.846
85,-0.75,23347.592
86,-0.5,23848.143
87,-0.25,24261.51
88,0.0,24605.877
