Element Label, Node Coordinates, Mises Stress (MPa)
22, 127.567, 15.144, 0.000, 127.066, 13.541, 0.000, 128.670, 13.296, 0.000, 129.140, 14.899, 0.000, 127.567, 15.144, 4.000, 127.066, 13.541, 4.000, 128.670, 13.296, 4.000, 129.140, 14.899, 4.000, 50.633888
23, 124.206, 14.237, 0.000, 123.066, 14.854, 0.000, 122.181, 13.279, 0.000, 123.491, 12.694, 0.000, 124.206, 14.237, 4.000, 123.066, 14.854, 4.000, 122.181, 13.279, 4.000, 123.491, 12.694, 4.000, 32.017372
24, 119.985, 12.573, 0.000, 121.007, 13.944, 0.000, 119.902, 14.773, 0.000, 118.856, 13.605, 0.000, 119.985, 12.573, 4.000, 121.007, 13.944, 4.000, 119.902, 14.773, 4.000, 118.856, 13.605, 4.000, 47.026218
25, 113.047, 15.321, 0.000, 114.424, 13.801, 0.000, 115.677, 14.773, 0.000, 114.861, 16.145, 0.000, 113.047, 15.321, 4.000, 114.424, 13.801, 4.000, 115.677, 14.773, 4.000, 114.861, 16.145, 4.000, 92.844429
26, 110.722, 13.824, 0.000, 112.214, 13.547, 0.000, 113.047, 15.321, 0.000, 110.952, 15.515, 0.000, 110.722, 13.824, 4.000, 112.214, 13.547, 4.000, 113.047, 15.321, 4.000, 110.952, 15.515, 4.000, 113.546654
27, 107.389, 13.544, 0.000, 107.340, 15.498, 0.000, 105.499, 15.515, 0.000, 105.560, 13.665, 0.000, 107.389, 13.544, 4.000, 107.340, 15.498, 4.000, 105.499, 15.515, 4.000, 105.560, 13.665, 4.000, 146.593155
28, 99.867, 15.662, 0.000, 99.928, 13.797, 0.000, 101.852, 13.632, 0.000, 101.773, 15.577, 0.000, 99.867, 15.662, 4.000, 99.928, 13.797, 4.000, 101.852, 13.632, 4.000, 101.773, 15.577, 4.000, 163.439545
29, 98.059, 13.865, 0.000, 98.190, 11.957, 0.000, 99.942, 12.056, 0.000, 99.928, 13.797, 0.000, 98.059, 13.865, 4.000, 98.190, 11.957, 4.000, 99.942, 12.056, 4.000, 99.928, 13.797, 4.000, 165.100815
30, 96.214, 13.905, 0.000, 94.353, 13.967, 0.000, 94.469, 12.050, 0.000, 96.358, 11.955, 0.000, 96.214, 13.905, 4.000, 94.353, 13.967, 4.000, 94.469, 12.050, 4.000, 96.358, 11.955, 4.000, 164.901520
31, 89.164, 12.385, 0.000, 89.042, 13.926, 0.000, 87.365, 13.789, 0.000, 87.539, 12.101, 0.000, 89.164, 12.385, 4.000, 89.042, 13.926, 4.000, 87.365, 13.789, 4.000, 87.539, 12.101, 4.000, 113.855888
32, 85.671, 11.940, 0.000, 85.309, 14.192, 0.000, 82.977, 13.685, 0.000, 83.657, 11.636, 0.000, 85.671, 11.940, 4.000, 85.309, 14.192, 4.000, 82.977, 13.685, 4.000, 83.657, 11.636, 4.000, 82.465637
