Frame,U1,RF1
0,0.0,-0.0
4,0.25,10769.852
6,0.5,20255.99
9,0.75,24084.709
12,1.0,25147.79
13,1.25,25668.695
14,1.5,25927.467
15,1.75,26046.443
16,2.0,26127.63
17,2.25,26190.123
18,2.5,26241.291
19,2.75,26284.586
20,3.0,26322.768
21,3.25,26357.365
22,3.5,26389.506
23,3.75,26419.988
24,4.0,26449.08
27,3.75,15649.937
28,3.5,4881.096
29,3.25,-5422.035
30,3.0,-13812.936
31,2.75,-19023.04
34,2.5,-21679.486
35,2.25,-23037.586
36,2.0,-23921.938
37,1.75,-24550.898
38,1.5,-24994.922
39,1.25,-25291.465
40,1.0,-25474.77
41,0.75,-25607.252
42,0.5,-25712.945
43,0.25,-25802.533
44,0.0,-25880.936
45,-0.25,-25951.625
46,-0.5,-26016.22
47,-0.75,-26075.47
48,-1.0,-26129.389
49,-1.25,-26180.09
50,-1.5,-26227.963
51,-1.75,-26273.504
52,-2.0,-26316.926
53,-2.25,-26358.42
54,-2.5,-26398.506
55,-2.75,-26437.62
56,-3.0,-26475.656
57,-3.25,-26512.45
58,-3.5,-26548.203
59,-3.75,-26582.37
60,-4.0,-26616.004
66,-3.75,-15837.303
68,-3.5,-5080.773
69,-3.25,5236.9004
70,-3.0,13628.06
71,-2.75,18917.838
72,-2.5,21629.01
73,-2.25,23084.262
74,-2.0,23967.725
75,-1.75,24589.385
76,-1.5,25022.928
77,-1.25,25294.035
78,-1.0,25466.555
79,-0.75,25593.168
80,-0.5,25691.5
81,-0.25,25774.053
82,0.0,25844.852
